timestep,time,Tesla Model 3_0,Tesla Model 3_1,Tesla Model 3_2,Tesla Model 3_3,Tesla Model 3_4,Tesla Model 3_5,Tesla Model 3_6,Tesla Model 3_7,Tesla Model 3_8,Tesla Model 3_9
88,2024-06-17 22:00:00,0.4153846153846157,0.4153846153846157,0.4153846153846157,0.4153846153846157,0.4153846153846157,0.4153846153846157,0.4153846153846157,0.4153846153846157,0.4153846153846157,0.4153846153846157
89,2024-06-17 22:15:00,0.42500000000000027,0.42500000000000027,0.42500000000000027,0.42500000000000027,0.42500000000000027,0.42500000000000027,0.42500000000000027,0.42500000000000027,0.42500000000000027,0.42500000000000027
90,2024-06-17 22:30:00,0.43461538461538485,0.43461538461538485,0.43461538461538485,0.43461538461538485,0.43461538461538485,0.43461538461538485,0.43461538461538485,0.43461538461538485,0.43461538461538485,0.43461538461538485
91,2024-06-17 22:45:00,0.4442307692307695,0.4442307692307695,0.4442307692307695,0.4442307692307695,0.4442307692307695,0.4442307692307695,0.4442307692307695,0.4442307692307695,0.4442307692307695,0.4442307692307695
92,2024-06-17 23:00:00,0.4538461538461541,0.4538461538461541,0.4538461538461541,0.4538461538461541,0.4538461538461541,0.4538461538461541,0.4538461538461541,0.4538461538461541,0.4538461538461541,0.4538461538461541
93,2024-06-17 23:15:00,0.4634615384615387,0.4634615384615387,0.4634615384615387,0.4634615384615387,0.4634615384615387,0.4634615384615387,0.4634615384615387,0.4634615384615387,0.4634615384615387,0.4634615384615387
94,2024-06-17 23:30:00,0.4730769230769233,0.4730769230769233,0.4730769230769233,0.4730769230769233,0.4730769230769233,0.4730769230769233,0.4730769230769233,0.4730769230769233,0.4730769230769233,0.4730769230769233
95,2024-06-17 23:45:00,0.4826923076923079,0.4826923076923079,0.4826923076923079,0.4826923076923079,0.4826923076923079,0.4826923076923079,0.4826923076923079,0.4826923076923079,0.4826923076923079,0.4826923076923079
96,2024-06-18 00:00:00,0.49230769230769256,0.49230769230769256,0.49230769230769256,0.49230769230769256,0.49230769230769256,0.49230769230769256,0.49230769230769256,0.49230769230769256,0.49230769230769256,0.49230769230769256
97,2024-06-18 00:15:00,0.5019230769230771,0.5019230769230771,0.5019230769230771,0.5019230769230771,0.5019230769230771,0.5019230769230771,0.5019230769230771,0.5019230769230771,0.5019230769230771,0.5019230769230771
98,2024-06-18 00:30:00,0.5115384615384617,0.5115384615384617,0.5115384615384617,0.5115384615384617,0.5115384615384617,0.5115384615384617,0.5115384615384617,0.5115384615384617,0.5115384615384617,0.5115384615384617
99,2024-06-18 00:45:00,0.5211538461538463,0.5211538461538463,0.5211538461538463,0.5211538461538463,0.5211538461538463,0.5211538461538463,0.5211538461538463,0.5211538461538463,0.5211538461538463,0.5211538461538463
100,2024-06-18 01:00:00,0.5307692307692309,0.5307692307692309,0.5307692307692309,0.5307692307692309,0.5307692307692309,0.5307692307692309,0.5307692307692309,0.5307692307692309,0.5307692307692309,0.5307692307692309
101,2024-06-18 01:15:00,0.5403846153846155,0.5403846153846155,0.5403846153846155,0.5403846153846155,0.5403846153846155,0.5403846153846155,0.5403846153846155,0.5403846153846155,0.5403846153846155,0.5403846153846155
102,2024-06-18 01:30:00,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
103,2024-06-18 01:45:00,0.5596153846153846,0.5596153846153846,0.5596153846153846,0.5596153846153846,0.5596153846153846,0.5596153846153846,0.5596153846153846,0.5596153846153846,0.5596153846153846,0.5596153846153846
104,2024-06-18 02:00:00,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692
105,2024-06-18 02:15:00,0.5788461538461538,0.5788461538461538,0.5788461538461538,0.5788461538461538,0.5788461538461538,0.5788461538461538,0.5788461538461538,0.5788461538461538,0.5788461538461538,0.5788461538461538
106,2024-06-18 02:30:00,0.5884615384615384,0.5884615384615384,0.5884615384615384,0.5884615384615384,0.5884615384615384,0.5884615384615384,0.5884615384615384,0.5884615384615384,0.5884615384615384,0.5884615384615384
107,2024-06-18 02:45:00,0.598076923076923,0.598076923076923,0.598076923076923,0.598076923076923,0.598076923076923,0.598076923076923,0.598076923076923,0.598076923076923,0.598076923076923,0.598076923076923
108,2024-06-18 03:00:00,0.6076923076923075,0.6076923076923075,0.6076923076923075,0.6076923076923075,0.6076923076923075,0.6076923076923075,0.6076923076923075,0.6076923076923075,0.6076923076923075,0.6076923076923075
109,2024-06-18 03:15:00,0.6173076923076921,0.6173076923076921,0.6173076923076921,0.6173076923076921,0.6173076923076921,0.6173076923076921,0.6173076923076921,0.6173076923076921,0.6173076923076921,0.6173076923076921
110,2024-06-18 03:30:00,0.6269230769230767,0.6269230769230767,0.6269230769230767,0.6269230769230767,0.6269230769230767,0.6269230769230767,0.6269230769230767,0.6269230769230767,0.6269230769230767,0.6269230769230767
111,2024-06-18 03:45:00,0.6365384615384613,0.6365384615384613,0.6365384615384613,0.6365384615384613,0.6365384615384613,0.6365384615384613,0.6365384615384613,0.6365384615384613,0.6365384615384613,0.6365384615384613
112,2024-06-18 04:00:00,0.6461538461538459,0.6461538461538459,0.6461538461538459,0.6461538461538459,0.6461538461538459,0.6461538461538459,0.6461538461538459,0.6461538461538459,0.6461538461538459,0.6461538461538459
113,2024-06-18 04:15:00,0.6557692307692304,0.6557692307692304,0.6557692307692304,0.6557692307692304,0.6557692307692304,0.6557692307692304,0.6557692307692304,0.6557692307692304,0.6557692307692304,0.6557692307692304
